TF	Gene
AHCTF1	AHCTF1
AHCTF1	ANKHD1
AHCTF1	AP1G1
AHCTF1	ARL2
AHCTF1	ATP2B4
AHCTF1	C1orf127
AHCTF1	CDK17
AHCTF1	DNPEP
AHCTF1	DYRK1A
AHCTF1	EIF4EBP1
AHCTF1	FUS
AHCTF1	JADE1
AHCTF1	KANK3
AHCTF1	MXI1
AHCTF1	N4BP2
AHCTF1	NAA25
AHCTF1	NRBP1
AHCTF1	PDS5A
AHCTF1	PTCH1
AHCTF1	RAB3D
AHCTF1	SALL4
AHCTF1	TBL1X
AHCTF1	TTBK2
AHCTF1	WHSC1
ALX1	DRGX
ALX1	DYDC2
ALX1	IQCF5
ALX1	LBX1-AS1
ALX1	LINC01496
ALX1	NPW
ALX1	OR2K2
ALX1	SDR9C7
ALX1	TRIM49D2
ALX1	BARHL2
ALX1	COL11A2
ALX1	GFY
ALX1	GSX1
ALX1	LHX5-AS1
ALX1	PKP3
ALX1	WNT3A
ALX1	ZFHX3
ALX1	ALX1
ALX1	C1orf174
ALX1	CACNG5
ALX1	DACH2
ALX1	DCHS2
ALX1	DMRT2
ALX1	DSC3
ALX1	EPHA5-AS1
ALX1	ESPNP
ALX1	FGF10
ALX1	FSTL5
ALX1	HNF1B
ALX1	NPAS4
ALX1	PDE4C
ALX1	PRMT8
ALX1	RAX
ALX1	RSPO2
ALX1	RXFP4
ALX1	SLC38A3
ALX1	SRGAP2-AS1
ALX1	ST8SIA2
ALX1	UGT8
ALX1	VSTM2A
ALX1	WNT6
ALX3	ALX3
ALX3	FGF3
ALX3	MBNL3
ALX3	GUCY2D
ALX3	HHIP-AS1
ALX3	NFATC1
ALX3	PLA2G4E-AS1
ALX3	PRR5-ARHGAP8
ALX3	PTF1A
ALX4	CLDN14
ALX4	FOXD3-AS1
ALX4	GLI2
ALX4	LINC01550
ALX4	NEUROG2
ALX4	NPC1L1
ALX4	SCN3B
ALX4	WNT5A
ALX4	HMX2
ALX4	LINC00173
ALX4	NPR2
ALX4	ARHGAP5-AS1
ALX4	DRP2
ALX4	SCN1B
ALX4	C1QL4
ALX4	FAM212B-AS1
ALX4	IGF2
ALX4	JAG1
ALX4	OTP
ALX4	SIX1
ALX4	TMIE
AR	AR
AR	MAGI1
AR	MTRNR2L8
AR	POPDC2
AR	TBX22
AR	VAV3-AS1
AR	LRRN1
ARG1	ABCB1
ARG1	ABTB2
ARG1	LRRC6
ARG1	LUCAT1
ARG1	MSANTD3-TMEFF1
ARG1	MYH16
ARG1	PGPEP1L
ARG1	TRPC4AP
ARID3A	ARID3A
ARID3A	CA5B
ARID3A	NDRG3
ARID3A	S1PR2
ARID3A	SLC16A3
ARID3A	ZNF395
ARID3C	ARID3C
ARID3C	PAQR9
ARID3C	PRDM16
ARID3C	RAX2
ARID3C	AGR3
ARID3C	CCDC129
ARID3C	KCNQ2
ARID3C	PPP1R17
ARID3C	PTPRN2
ARID3C	TUNAR
ARID3C	BAG2
ARID3C	CLDN8
ARID3C	LHX5-AS1
ARID3C	LINC01571
ARID3C	MYF5
ARID3C	SIM1
ARID3C	SUPT20HL1
ARID3C	EEFSEC
ARID3C	GRM4
ARID3C	IRX4
ASCL2	AIFM3
ASCL2	CDH1
ASCL2	CHRDL2
ASCL2	MAL
ASCL2	PPM1B
ASCL2	FMNL1
ASCL2	GOLGA8J
ASCL2	ERMN
ASCL2	GPRIN2
ASCL2	TRPM2
ATF3	ATF3
ATF3	FOSB
ATF3	LINC01348
ATF3	NDRG1
ATF3	FRG2DP
ATF3	JUN
ATF3	FOS
ATF3	LINC01048
ATF3	PRSS23
ATF3	ADCY8
ATF3	ANXA2P3
ATF3	AP2B1
ATF3	ARID5B
ATF3	B4GALT3
ATF3	BTG2
ATF3	CASC3
ATF3	HORMAD2-AS1
ATF3	IL1B
ATF3	KCNQ5
ATF3	MAP3K14
ATF3	NOTCH2NL
