TF	Gene
ATF3	ONECUT2
ATF3	RASSF1
ATF3	SYNJ2
ATF3	SYT11
ATF3	TCP10
ATF3	MGC45922
ATF3	SNX11
ATF3	PFN3
ATF3	ARID5A
ATF3	BMP15
ATF3	CBFB
ATF3	CEBPB
ATF3	CELSR2
ATF3	ETFB
ATF3	FYN
ATF3	GNA12
ATF3	HAS2-AS1
ATF3	LBH
ATF3	LGI2
ATF3	LIMK2
ATF3	LINC00544
ATF3	LINC01166
ATF3	LINC01397
ATF3	NOTCH1
ATF3	ODF3L1
ATF3	OSM
ATF3	PCGF5
ATF3	PRPH2
ATF3	RELT
ATF3	RNF43
ATF3	RTN4
ATF3	TEAD1
ATF3	TMEM39A
ATF3	TNRC18P1
ATF3	TPTE2
ATF4	ARL4D
ATF4	ATAD3B
ATF4	CDK2AP2
ATF4	CHAC1
ATF4	CLMN
ATF4	DGCR14
ATF4	DVL1
ATF4	ELL2
ATF4	F2RL2
ATF4	FXYD1
ATF4	GAS5
ATF4	ISLR
ATF4	KAT7
ATF4	LMF2
ATF4	NAP1L2
ATF4	NBR1
ATF4	NCAPH2
ATF4	PLK3
ATF4	PTMA
ATF4	RFPL3S
ATF4	RPL13A
ATF4	RPL3
ATF4	RPLP2
ATF4	RPS9
ATF4	SLC3A2
ATF4	SMDT1
ATF4	SPOP
ATF4	TAF10
ATF4	TCF20
ATF4	TMEM256-PLSCR3
ATF4	TPT1
ATF4	TRMT2A
ATF4	TUBB3
ATF4	ZC3H18
ATF4	ZDHHC8
ATF4	HTRA3
ATF4	AMD1
ATF4	GSTCD
ATF4	RPL31
ATF4	RPL41
ATF4	CHODL
ATF6B	BLOC1S5
ATF6B	CDADC1
ATF6B	CDK19
ATF6B	CEP112
ATF6B	CER1
ATF6B	CMSS1
ATF6B	CMTR1
ATF6B	CTC1
ATF6B	DCUN1D1
ATF6B	FBXO33
ATF6B	FCN2
ATF6B	FKBPL
ATF6B	HDAC5
ATF6B	HSD3B7
ATF6B	IFT57
ATF6B	KRT18
ATF6B	LINC00399
ATF6B	LINC00533
ATF6B	LRRC52
ATF6B	LRRFIP1
ATF6B	MAP3K4
ATF6B	MAP3K7
ATF6B	MED18
ATF6B	MUC21
ATF6B	NF1
ATF6B	OXSR1
ATF6B	PHC3
ATF6B	POGK
ATF6B	RNF13
ATF6B	RNF146
ATF6B	RNVU1-6
ATF6B	RPL13AP3
ATF6B	TBX5-AS1
ATF6B	TRIM39
ATF6B	ZBTB11
ATF6B	ZC2HC1B
ATF6B	BRD2
ATF6B	PAPPA
BACH1	BACH1
BACH1	CTXN3
BACH1	OSMR
BACH1	RAB1A
BACH1	SDCBP2
BACH1	YAP1
BACH1	ADAM23
BACH1	AHNAK
BACH1	C15orf53
BACH1	CSNK2A3
BACH1	DKFZP434L187
BACH1	DNAJB4
BACH1	NDRG1
BACH1	PFKFB3
BACH1	PPIAL4E
BACH1	SNX29P1
BACH1	SPOPL
BACH1	SRBD1
BACH1	TMEM45A
BACH1	ZNF184
BARX1	BDNF
BARX1	C1QL1
BARX1	C1QL2
BARX1	COL11A2
BARX1	NTNG2
BARX1	SYT2
BARX1	ALOX12B
BARX1	AMIGO2
BARX1	FGF3
BARX1	FOXB1
BARX1	GDF2
BARX1	GSX1
BARX1	HMGN1
BARX1	HNF1B
BARX1	IGDCC3
BARX1	IRX4
BARX1	LRRC56
BARX1	MEPCE
BARX1	MIOX
BARX1	NXPH4
BARX1	SLC22A8
BARX1	TH
BARX1	ZAR1
BATF3	AIM2
BATF3	ARHGAP15
BATF3	BATF3
BATF3	BST1
BATF3	CFD
BATF3	CKMT2
BATF3	CXCR2P1
BATF3	EDA
BATF3	GFI1
BATF3	RFPL4B
BATF3	RGS10
BATF3	SNAI1
BATF3	STAR
BATF3	VIPR1
BATF3	ARHGDIB
BATF3	LINC01179
BATF3	PCED1B-AS1
BATF3	SPI1
BCL11B	ABCC8
BCL11B	AJAP1
BCL11B	BCL11B
BCL11B	EYA4
BCL11B	PRICKLE1
BCL11B	SUN3
BCL11B	TMEM65
BCL11B	MBL2
BCL3	BCL3
BCL3	DYNLL2
BCL3	PPP1R18
BCL3	S100A3
BCL3	SERPINB5
BCL3	TPM4
BCL3	ZC3H12A
BCL3	ABR
BCL3	CAPSL
BCL3	CCND1
BCL3	CORO1C
BCL3	EBF1
BCL3	FAM117A
BCL3	FGFRL1
BCL3	FLT3LG
BCL3	GADD45B
BCL3	HEMGN
BCL3	IER5L
BCL3	IL20
BCL3	ITGA9
BCL3	JUN
BCL3	LOX
BCL3	OTOP2
BCL3	PERP
BCL3	PGM5
BCL3	PPP1R3C
BCL3	SDC2
BCL3	SVEP1
BCL3	TLE3
BCL3	C1orf226
BCL3	DCUN1D3
BCL3	IGFL3
BCL3	PLEKHN1
BCL3	SERPINB11
BCL6	ARHGAP15
BCL6	ASPHD2
BCL6	BCL6
BCL6	BNIP3L
BCL6	BTBD18
BCL6	C3orf70
BCL6	COL1A2
BCL6	ELMSAN1
BCL6	FAM185A
BCL6	FIGN
BCL6	FREM1
BCL6	GATA4
BCL6	HAO1
BCL6	HNRNPH1
BCL6	HOXA2
BCL6	LDB2
BCL6	LINC00298
BCL6	LINC00504
BCL6	MAFTRR
BCL6	MRPL1
BCL6	MYF6
BCL6	NAALADL2-AS2
BCL6	NDUFS4
BCL6	NKRF
BCL6	NMNAT2
BCL6	NPAS2
BCL6	ODC1
BCL6	PCGF2
BCL6	PKNOX2
BCL6	PMCHL2
BCL6	PMEPA1
BCL6	SAMD13
BCL6	SFTA1P
BCL6	SLC26A3
BCL6	SOCS2-AS1
BCL6	SOCS3
BCL6	SPAG6
BCL6	TBL1X
BCL6	TNFRSF11B
BCL6	VCAN
BCL6	ZBTB25
BDP1	AFF4
BDP1	APAF1
BDP1	ATXN1L
BDP1	BDP1
BDP1	BFSP2-AS1
BDP1	CDK17
BDP1	DDX12P
BDP1	FSIP1
BDP1	GTF2IP7
BDP1	HSPB2-C11orf52
BDP1	ITCH
BDP1	KMT2A
BDP1	LINC00238
BDP1	LINC00324
BDP1	LMBRD2
BDP1	MED13L
BDP1	NUP205
BDP1	PATZ1
BDP1	PIK3C2A
BDP1	PKD1P1
BDP1	PPP1R12A
BDP1	PRDM10
BDP1	SERF2
BDP1	SH3GL1P2
BDP1	SRRM2
BDP1	STAG3L5P
BDP1	TRAPPC13
BDP1	UBE2Q2P2
BHLHE40	BCAS3
BHLHE40	BHLHE40
BHLHE40	ENO2
BHLHE40	IER3
BHLHE40	LINC00163
BHLHE40	PANDAR
BHLHE40	PIN4P1
BHLHE40	TINAG
BHLHE40	CDKN1A
BHLHE40	CDCP1
BHLHE40	GUCY2EP
BHLHE40	PLGLA
BNC1	CAP2
BNC1	GRM5
BNC1	PLD5
BNC1	BNC1
BNC1	CLYBL-AS2
BNC1	IL19
BNC1	SIM1
BRCA1	BRCA1
BRCA1	CDC25B
BRCA1	CDCA3
BRCA1	E2F2
BRCA1	EXO1
BRCA1	FANCC
BRCA1	HIST1H2BI
BRCA1	KIAA1524
BRCA1	LSM8
BRCA1	MCM2
BRCA1	MCM5
BRCA1	MMS22L
BRCA1	ORC6
BRCA1	RFC5
BRCA1	SPDL1
BRCA1	USP1
BRCA1	WEE1
BRCA1	ZNF367
BRCA1	ZWILCH
BRCA1	GSG2
BRCA1	KPNA2
BRCA1	NCAPG2
BRCA1	POLE
BRCA1	PTTG1
BRCA1	RAD51C
BRCA1	RC3H2
BRCA1	RIBC2
BRCA1	SKA3
BRCA1	UHRF1
BRCA1	ARHGEF39
BRCA1	ASPM
BRCA1	ATAD5
BRCA1	BUB1B
BRCA1	C16orf59
BRCA1	CCHCR1
BRCA1	CCNA2
BRCA1	CCNB2
BRCA1	CDC25C
BRCA1	CDCA2
BRCA1	CDCA7
BRCA1	CENPH
BRCA1	CENPI
BRCA1	CLSPN
BRCA1	CNTROB
BRCA1	DBF4B
BRCA1	DSCC1
BRCA1	ENTPD7
BRCA1	EPHA5
BRCA1	ESCO2
BRCA1	ESPL1
BRCA1	EZH2
BRCA1	FAM72A
BRCA1	FAM72C
BRCA1	FANCB
BRCA1	FANCE
BRCA1	H2AFZ
BRCA1	HJURP
BRCA1	HMGB2
BRCA1	HN1L
BRCA1	KIF14
BRCA1	KIF20B
BRCA1	KPNB1
BRCA1	LIN9
BRCA1	LMNB1
BRCA1	MCM4
BRCA1	MCM6
BRCA1	MIR31HG
BRCA1	MKI67
BRCA1	MSH2
BRCA1	MSH5
BRCA1	MYBL2
BRCA1	NAA60
BRCA1	NEIL3
BRCA1	NUP85
BRCA1	PHF13
BRCA1	PHF19
BRCA1	POC1A
BRCA1	POLA1
BRCA1	POLQ
BRCA1	PRIM1
BRCA1	PRKCI
BRCA1	PTBP3
BRCA1	RCN1
BRCA1	RFWD3
BRCA1	RIC3
BRCA1	RIF1
BRCA1	SLC20A1
BRCA1	STIL
BRCA1	STMN1
BRCA1	TMEM2
BRCA1	TMEM44
BRCA1	TONSL
BRCA1	TOPBP1
BRCA1	WHSC1
BRCA1	BRIP1
BRCA1	CCNE2
BRCA1	CEP152
BRCA1	DHFR
BRCA1	KLHL32
BRCA1	MNS1
BRCA1	NDE1
BRCA1	NDUFC1
BRCA1	NEUROD1
BRCA1	PI4KAP2
BRCA1	PKMYT1
BRCA1	PMCHL2
BRCA1	TPX2
BRCA1	TRIM59
BRCA1	USP37
BRCA1	XPO1
BRCA1	C18orf54
BRCA1	CCNF
BRCA1	DDX12P
BRCA1	DYNLRB2
BRCA1	FANCD2
BRCA1	FANCG
BRCA1	NHEG1
BRCA1	PTDSS1
BRCA1	TLDC1
BRCA1	CBX1
BRCA1	DDIAS
BRCA1	DNAJB11
BRCA1	ECT2
BRCA1	FBXO45
BRCA1	MCM7
BRCA1	NCAPH2
BRCA1	RAD18
BRCA1	RFC4
BRCA1	TRAIP
BRCA1	KNTC1
BRCA1	CENPF
BRCA1	KIFC1
BRCA1	PDCL
BRCA1	RABEPK
BRCA1	AIG1
BRCA1	AUNIP
BRCA1	BATF3
BRCA1	CCDC155
BRCA1	CCDC18
BRCA1	CDC25A
BRCA1	CDKN2A
BRCA1	CEP295
BRCA1	CRLF3
BRCA1	CTTNBP2
BRCA1	CYB5D2
BRCA1	DPF3
BRCA1	EXOSC2
BRCA1	FAM72B
BRCA1	FASTKD1
BRCA1	FGF14-AS2
BRCA1	GABRB2
BRCA1	GNG10
BRCA1	HAGH
BRCA1	HELLS
BRCA1	HIST1H1E
BRCA1	JUN
BRCA1	KCNG4
BRCA1	LHPP
BRCA1	LINC00959
BRCA1	LMO3
BRCA1	LYRM9
BRCA1	MSL1
BRCA1	NXPE1
BRCA1	PGM2L1
BRCA1	PLOD1
BRCA1	RABEP2
BRCA1	RBBP8
BRCA1	RFC3
BRCA1	RGS20
BRCA1	RTTN
BRCA1	SH3BGR
BRCA1	SH3RF3
BRCA1	SHH
BRCA1	SHISA9
BRCA1	SLC13A3
BRCA1	SLC25A4
BRCA1	SLC35D3
BRCA1	SLC36A4
BRCA1	SMARCD3
BRCA1	SMC4
BRCA1	SMC5
BRCA1	ST6GALNAC4
BRCA1	TADA2A
BRCA1	TICRR
BRCA1	TMEM143
BRCA1	TOP3A
BRCA1	TPBG
BRCA1	TYMSOS
BRCA1	UTP6
BRCA1	XXYLT1
BRCA1	C21orf58
BRCA1	CEP55
BRCA1	CHAF1B
BRCA1	CILP2
BRCA1	PRC1
BRCA1	SMC2
BRCA1	CD47
BRCA1	GPR37
BRCA1	GTF2IRD2B
BRCA1	HENMT1
BRCA1	MSTO2P
BRCA1	TMCC2
BRCA1	TPM4
BRCA1	EME1
BRCA1	DEK
BRCA1	GGH
BRCA1	PCNA
BRCA1	C1QTNF2
BRCA1	EMC3-AS1
BRCA1	EPN2
BRCA1	KBTBD2
BRCA1	KDELR3
BRCA1	KNOP1
BRCA1	LINC00862
BRCA1	MAP4
BRCA1	MEIS1
BRCA1	NLGN3
BRCA1	PITX2
BRCA1	RCC2
BRCA1	SAAL1
BRCA1	SOX11
BRCA1	STT3A
BRCA1	TMEM201
CARF	ACBD5
CARF	CARF
CBX3	CYCS
CBX3	HTR4
CBX3	LHFPL2
CBX3	LRRC9
CBX3	MEF2C
CBX3	SERPINA13P
CBX3	SLC7A1
CBX3	TBX5
CBX3	TRABD2B
CBX3	EPHB3
CBX3	ME3
CBX3	SRCIN1
CDX1	ASXL3
CDX1	CDX1
CDX1	DIRC1
CDX1	FOXO1
CDX1	IL5RA
CDX1	OGDHL
CDX1	OLFML2B
CDX1	SCRG1
CDX1	C8orf87
CDX1	MEPE
CDX1	PPFIA2
CDX1	SIM1
CDX1	SPATA8
CDX1	TRIM15
CDX1	CDH17
CDX1	CDH7
CDX1	EYA4
CDX1	FYN
CDX1	LINC00114
CDX1	LINC01337
CDX1	RIMS2
CDX1	SLC6A15
CDX2	ALOX12B
CDX2	C3orf84
CDX2	CDX2
CDX2	GSX1
CDX2	LINC01349
CDX2	URAD
CDX2	AAR2
CDX2	AKT1
CDX2	CLSTN2
CDX2	DUSP18
CDX2	ERI3-IT1
CDX2	GABRR3
CDX2	KLF12
CDX2	LINC00303
CDX2	MSL3P1
CDX2	SLC6A7
CDX2	T
CDX2	TLX3
CDX2	ATF3
CDX4	KRT35
CDX4	OTOP3
CEBPA	CEBPG
CEBPA	PRR15
CEBPA	SLC24A4
CEBPA	IL1RN
CEBPA	ORM2
CEBPA	RGR
CEBPA	SERPINA7
CEBPA	UNC5C
CEBPA	AARS
CEBPA	ADAM28
CEBPA	ADAMTSL1
CEBPA	AKAP4
CEBPA	ANGPT1
CEBPA	ANKRD9
CEBPA	ARRDC3
CEBPA	BMP4
CEBPA	BMPR1B
CEBPA	CAMP
CEBPA	CASP1
CEBPA	CASQ1
CEBPA	CCL3
CEBPA	CCR1
CEBPA	CDX2
CEBPA	CH25H
CEBPA	CHRNB3
CEBPA	CLCA2
CEBPA	CLDN8
CEBPA	CREB5
CEBPA	DCDC2
CEBPA	DCSTAMP
CEBPA	DDX19B
CEBPA	DEFB1
CEBPA	DHRS3
CEBPA	DLGAP1-AS3
CEBPA	DOK7
CEBPA	DSG3
CEBPA	EHF
CEBPA	EIF2S3
CEBPA	ENPP2
CEBPA	ENTPD1
CEBPA	FAM205BP
CEBPA	FAM46B
CEBPA	FAR2
CEBPA	FETUB
CEBPA	FFAR3
CEBPA	FGB
CEBPA	FGG
CEBPA	FGL2
CEBPA	FGR
CEBPA	FLNB
CEBPA	FOSL2
CEBPA	FTL
CEBPA	GABARAPL1
CEBPA	GALNT1
CEBPA	GOLT1A
CEBPA	GPHB5
CEBPA	GRIK2
CEBPA	GSTA5
CEBPA	HAL
CEBPA	HK2
CEBPA	HLA-DRB5
CEBPA	HMOX1
CEBPA	HNF1A
CEBPA	HRG
CEBPA	HRK
CEBPA	IL10
CEBPA	IL1B
CEBPA	IRF2
CEBPA	JADE3
CEBPA	KANK1
CEBPA	KIAA0368
CEBPA	KLF7
CEBPA	KLK9
CEBPA	KNOP1
CEBPA	LCE3E
CEBPA	LEP
CEBPA	LIMD1-AS1
CEBPA	LINC00548
CEBPA	LINC00886
CEBPA	LINC01353
CEBPA	LINC01572
CEBPA	LRRC4C
CEBPA	MAML3
CEBPA	MARCKS
CEBPA	MCTP1
CEBPA	MCTS1
CEBPA	MID1
CEBPA	MIR99AHG
CEBPA	MLPH
CEBPA	MYH7
CEBPA	MYO1E
CEBPA	MYO1F
CEBPA	NCF2
CEBPA	NLGN1
CEBPA	NOG
CEBPA	NPTX2
CEBPA	NTSR2
CEBPA	PARVG
CEBPA	PAX6
CEBPA	PCDHB4
CEBPA	PCDHGA9
CEBPA	PCP4L1
CEBPA	PDE4B
CEBPA	PDE4DIP
CEBPA	PDHA1
CEBPA	PER3
CEBPA	PHB
CEBPA	PILRA
CEBPA	PITPNC1
CEBPA	PLXNB3
CEBPA	POU2F1
CEBPA	PPFIA4
CEBPA	PRR7
CEBPA	PRTG
CEBPA	PSMA8
CEBPA	PYCR1
CEBPA	RAB3IP
CEBPA	RASGRF1
CEBPA	RGS19
CEBPA	RTP3
CEBPA	S100A13
CEBPA	SCARA3
CEBPA	SCIN
CEBPA	SLA
CEBPA	SLAIN1
CEBPA	SLC20A2
CEBPA	SLC35F2
CEBPA	SLC6A9
CEBPA	SLC8A3
CEBPA	SOWAHD
CEBPA	SOX2-OT
CEBPA	SOX30
CEBPA	SPATA41
CEBPA	SPDYE1
CEBPA	STAU2-AS1
CEBPA	STC2
CEBPA	STK31
CEBPA	STRADA
CEBPA	TBC1D8
CEBPA	TFEC
CEBPA	THEMIS
CEBPA	TIMM21
CEBPA	TLDC2
CEBPA	TLR7
CEBPA	TLR8
CEBPA	TMEM244
CEBPA	TMEM255A
CEBPA	TMEM52B
CEBPA	TMPRSS4
CEBPA	TREM1
CEBPA	TRERF1
CEBPA	TRIB3
CEBPA	TTC22
CEBPA	TUBA3E
CEBPA	TWIST2
CEBPA	XPR1
CEBPA	ZDHHC12
CEBPA	ZFP36L1
CEBPA	ZFP92
CEBPA	ZNF818P
CEBPA	AADACP1
CEBPA	C1orf162
CEBPA	SCG2
CEBPA	ZNF827
CEBPA	ATP1A4
CEBPA	BTNL3
CEBPA	ERBB3
CEBPA	MIR3661
CEBPA	MOGAT2
CEBPA	NAV2-AS4
CEBPA	SLC35F4
CEBPA	SYTL3
CEBPA	TINAG
CEBPA	ADTRP
CEBPA	ASB11
CEBPA	C15orf61
CEBPA	CDH17
CEBPA	CHRNA6
CEBPA	DRP2
CEBPA	EVI2B
CEBPA	F2
CEBPA	FABP2
CEBPA	FOLH1B
CEBPA	GAST
CEBPA	HBZ
CEBPA	HIST1H2AE
CEBPA	LHFPL3
CEBPA	MEIS1-AS3
CEBPA	MIR7-3HG
CEBPA	MTSS1L
CEBPA	PI15
CEBPA	PKNOX2
CEBPA	PLD1
CEBPA	RORC
CEBPA	ROS1
CEBPA	SDK1
CEBPA	SLC4A10
CEBPA	SMIM10L1
CEBPA	SMIM2-AS1
CEBPA	SPINK8
CEBPA	TEX101
CEBPA	TMEM140
CEBPA	UGT1A1
CEBPA	VTCN1
CEBPA	ZNF439
CEBPA	ZNF649-AS1
CEBPA	ACTN1-AS1
CEBPA	ALDH1A2
CEBPA	COL26A1
CEBPA	TRPM1
CEBPA	ACSL4
CEBPA	ACSM3
CEBPA	ALDH3B2
CEBPA	ARPC1A
CEBPA	BCL2A1
CEBPA	BSPRY
CEBPA	CARD11
CEBPA	CD163
CEBPA	CLEC7A
CEBPA	CLIP4
CEBPA	CPNE1
CEBPA	CYP2C8
CEBPA	EGLN2
CEBPA	EVI2A
CEBPA	FCGR1B
CEBPA	FRMD5
CEBPA	GINM1
CEBPA	GP2
CEBPA	GPR65
CEBPA	HCLS1
CEBPA	HLA-G
CEBPA	HNF4A
CEBPA	KCNJ16
CEBPA	LILRA2
CEBPA	LSM5
CEBPA	MAB21L3
CEBPA	MRPS24
CEBPA	MUC21
CEBPA	NDRG3
CEBPA	PDE6H
CEBPA	POTEH-AS1
CEBPA	PZP
CEBPA	RIMBP3B
CEBPA	RNLS
CEBPA	SAMSN1
CEBPA	SLC26A7
CEBPA	SLC2A5
CEBPA	SLC7A7
CEBPA	SOX2
CEBPA	SPRR2E
CEBPA	SPRR2F
CEBPA	SRPK3
CEBPA	TFAP2D
CEBPA	TMEM125
CEBPA	UPP1
CEBPA	YIPF1
CEBPB	ACTBL2
CEBPB	C5AR1
CEBPB	HOXA-AS3
CEBPB	HOXA2
CEBPB	OSM
CEBPB	RNASE2
CEBPB	APBB1IP
CEBPB	ATF3
CEBPB	DOK3
CEBPB	FGG
CEBPB	LCN2
CEBPB	LINC01550
CEBPB	PIK3CD-AS1
CEBPB	SERPINE1
CEBPB	TTC22
CEBPB	ACTB
CEBPB	ADNP2
CEBPB	AGMO
CEBPB	ALX3
CEBPB	ANKRD34C
CEBPB	ANP32AP1
CEBPB	ANXA1
CEBPB	APC2
CEBPB	ARHGAP15
CEBPB	ARHGAP27
CEBPB	ARHGEF33
CEBPB	B3GAT3
CEBPB	BCAR3
CEBPB	C10orf55
CEBPB	C20orf24
CEBPB	C3
CEBPB	CAB39L
CEBPB	CARD16
CEBPB	CAV1
CEBPB	CCDC33
CEBPB	CHD5
CEBPB	CLCA2
CEBPB	CLEC4E
CEBPB	CNGB3
CEBPB	COX5A
CEBPB	CRNN
CEBPB	CTAGE5
CEBPB	CYBB
CEBPB	CYP27B1
CEBPB	DACH1
CEBPB	DKFZP434I0714
CEBPB	DLC1
CEBPB	DNM2
CEBPB	DOPEY2
CEBPB	EDNRB
CEBPB	ENPP3
CEBPB	EPOR
CEBPB	FAM46D
CEBPB	FBXL21
CEBPB	FDXR
CEBPB	FLT3LG
CEBPB	FN1
CEBPB	FSTL5
CEBPB	GALNT10
CEBPB	GIMAP4
CEBPB	GPBAR1
CEBPB	GPR34
CEBPB	GPR61
CEBPB	GPR82
CEBPB	GPRIN3
CEBPB	GTSF1
CEBPB	HAMP
CEBPB	HBB
CEBPB	HBS1L
CEBPB	HP
CEBPB	HPR
CEBPB	IFNGR1
CEBPB	IL20RB
CEBPB	ISG20
CEBPB	ISLR2
CEBPB	ITGB2
CEBPB	KCTD1
CEBPB	KDM6A
CEBPB	LINC00911
CEBPB	LINC01208
CEBPB	LRRC4C
CEBPB	MAP3K8
CEBPB	MAP4K5
CEBPB	MFSD8
CEBPB	MKL1
CEBPB	MRGPRX1
CEBPB	MYOT
CEBPB	NBR2
CEBPB	NCAM1
CEBPB	NCF2
CEBPB	NEUROG1
CEBPB	NR1D2
CEBPB	NRBF2
CEBPB	NSDHL
CEBPB	NUP93
CEBPB	OASL
CEBPB	PCA3
CEBPB	PDE4DIP
CEBPB	PGC
CEBPB	PNPLA5
CEBPB	PRCAT47
CEBPB	PTPRN
CEBPB	RBPMS-AS1
CEBPB	RDH8
CEBPB	RFX4
CEBPB	RGS1
CEBPB	RXRA
CEBPB	SCN8A
CEBPB	SERPINB11
CEBPB	SERPINF1
CEBPB	SFRP1
CEBPB	SLC1A3
CEBPB	SLC1A5
CEBPB	SLC35F3
CEBPB	SLC6A7
CEBPB	SLC9C1
CEBPB	SMIM6
CEBPB	SPI1
CEBPB	SQRDL
CEBPB	STMND1
CEBPB	STPG1
CEBPB	SYP
CEBPB	TBX19
CEBPB	TCF20
CEBPB	TIMM21
CEBPB	TMEM108
CEBPB	TMEM125
CEBPB	TMEM135
CEBPB	TMEM154
CEBPB	TMEM5-AS1
CEBPB	TMSB4X
CEBPB	TNFSF13B
CEBPB	TNFSF14
CEBPB	TRIB3
CEBPB	TRPV4
CEBPB	TRUB1
CEBPB	UBE4A
CEBPB	UBQLN3
CEBPB	VASP
CEBPB	WHAMM
CEBPB	ZNF24
CEBPB	ZNF521
CEBPB	CARD17
CEBPB	CCR1
CEBPB	CNOT1
CEBPB	DCUN1D3
CEBPB	EVI2B
CEBPB	FAM212A
CEBPB	FMO3
CEBPB	GPRC5A
CEBPB	GPT2
CEBPB	HCLS1
CEBPB	HS3ST5
CEBPB	KCNIP4-IT1
CEBPB	LINC00687
CEBPB	LRRIQ4
CEBPB	PTPRO
CEBPB	SLC22A10
CEBPB	SLC2A14
CEBPB	SLCO1B3
CEBPB	SOX2-OT
CEBPB	ANKRD22
CEBPB	BLNK
CEBPB	CCRL2
CEBPB	CDKN2A-AS1
CEBPB	FREM1
CEBPB	HAO2
CEBPB	KCNIP2-AS1
CEBPB	LINC00862
CEBPB	TAMM41
CEBPB	CEBPB
CEBPB	KLHL38
CEBPB	PRRG4
CEBPB	SLC35D1
CEBPB	CCL13
CEBPB	CCL16
CEBPB	CEACAM1
CEBPB	DBX1
CEBPB	FABP2
CEBPB	GDF9
CEBPB	LINC00987
CEBPB	OLFM4
CEBPB	OR13D1
CEBPB	SMC2-AS1
CEBPB	TARID
