TF	Gene
ATF3	PAGE1
ATF3	PDE8B
ATF3	POLB
ATF3	PTP4A1
ATF3	PVT1
ATF3	RIIAD1
ATF3	RN7SL2
ATF3	RNU4-2
ATF3	SLC25A14
ATF3	SRRM4
ATF3	SYAP1
ATF3	TRIB1
ATF3	DNAJB3
ATF3	DSG3
ATF3	LINC00691
ATF3	POU2F3
ATF3	DPY19L2P4
ATF3	PXMP4
ATF3	CRYBB3
ATF3	FRMPD2
ATF3	LINC00462
ATF3	MCL1
ATF3	MIR499A
ATF3	PCDHB6
ATF3	PIGA
ATF3	RNVU1-1
ATF3	RNVU1-19
ATF3	SMCO2
ATF3	SNORD91A
ATF3	SPANXN1
ATF3	TSPYL2
ATF3	TYRP1
ATF3	ACAN
ATF3	BAG1
ATF3	BDH2
ATF3	C2orf27B
ATF3	CAPN14
ATF3	CD93
ATF3	CDH17
ATF3	CLDN10
ATF3	CLEC18C
ATF3	CT62
ATF3	DRD3
ATF3	EDA2R
ATF3	FAM183CP
ATF3	FGF9
ATF3	FOXO6
ATF3	FRMPD2B
ATF3	GDNF
ATF3	GMNC
ATF3	GNA14-AS1
ATF3	GOLGA2P2Y
ATF3	GPC6
ATF3	GS1-124K5.11
ATF3	HECW1-IT1
ATF3	HNF4A
ATF3	HTR4
ATF3	ICA1
ATF3	IGSF11-AS1
ATF3	IL1A
ATF3	IL3
ATF3	IQCJ
ATF3	LHFPL3
ATF3	LINC00051
ATF3	LINC00158
ATF3	LINC00475
ATF3	LINC00838
ATF3	LINC00911
ATF3	LINC01100
ATF3	LINC01132
ATF3	LINC01227
ATF3	LINC01307
ATF3	LINC01358
ATF3	LINC01483
ATF3	LRRC8E
ATF3	MAP1LC3B2
ATF3	MGLL
ATF3	MPPED1
ATF3	MYH16
ATF3	NXT1
ATF3	OR10Z1
ATF3	OR4D9
ATF3	OR6V1
ATF3	PAK6
ATF3	PART1
ATF3	PAX2
ATF3	PDE4B
ATF3	POU6F2
ATF3	PRG2
ATF3	PRKCG
ATF3	PSG10P
ATF3	SBK2
ATF3	SH3PXD2A
ATF3	SLC22A7
ATF3	SLC2A12
ATF3	SLCO2A1
ATF3	ST18
ATF3	STEAP3
ATF3	TCOF1
ATF3	TEX35
ATF3	TMED11P
ATF3	TMEM26-AS1
ATF3	TMPRSS2
ATF3	OR2T4
ATF3	OTOP3
ATF3	ADAMTSL5
ATF3	ANKRD1
ATF3	ANXA2P1
ATF3	ATP6V1B1-AS1
ATF3	BDKRB1
ATF3	C11orf42
ATF3	C9orf170
ATF3	CCNO
ATF3	CDH13
ATF3	CLDN1
